"muniYear","tot_del","hom"
"12042_2003",25,3
"12042_2004",14,0
"12042_2005",17,0
"12042_2006",25,2
"12042_2007",20,3
"12042_2008",22,3
"12042_2009",23,1
"12042_2010",22,1
"12043_1994",13,1
"12043_1995",4,1
"12043_1996",26,3
"12043_1997",38,4
"12043_1998",35,6
"12043_1999",61,7
"12043_2000",50,4
"12043_2001",26,3
"12043_2002",40,2
"12043_2003",41,3
"12043_2004",33,4
"12043_2005",24,6
"12043_2006",19,2
"12043_2007",37,2
"12043_2008",45,4
"12043_2009",67,6
"12043_2010",29,3
"12044_1994",31,3.5
"12044_1995",33,4
"12044_1996",68,4
"12044_1997",27,2
"12044_1998",41,5
"12044_1999",46,3
"12044_2000",46,3
"12044_2001",27,2
"12044_2002",45,2
"12044_2003",19,0
"12044_2004",22,1
"12044_2005",18,2
"12044_2006",15,0
"12044_2007",43,1
"12044_2008",41,5
"12044_2009",66,3
"12044_2010",32,6
"12045_1994",19,4
"12045_1995",6,2
"12045_1996",17,1
"12045_1997",24,5
"12045_1998",52,11
"12045_1999",47,3
"12045_2000",51,3
"12045_2001",51,6
"12045_2002",73,7
"12045_2003",56,4
"12045_2004",35,2
"12045_2005",38,3
"12045_2006",14,3
"12045_2007",40,5
"12045_2008",69,1
"12045_2009",81,5
"12045_2010",75,1
"12046_1994",221.5,15.5
"12046_1995",368,30
"12046_1996",511,27
"12046_1997",446,25
"12046_1998",576,46
"12046_1999",650,30
"12046_2000",461,29
"12046_2001",388,40
"12046_2002",498,25
"12046_2003",403,30
"12046_2004",333,38
"12046_2005",467,38
"12046_2006",433,39
"12046_2007",634,36
"12046_2008",553,23
"12046_2009",603,25
"12046_2010",535,46
"12047_1994",270,23.5
"12047_1995",5,1
"12047_1996",4,1
"12047_1997",6,2
"12047_1998",5,4
"12047_1999",12,6
"12047_2000",11,8
"12047_2001",2,0
"12047_2002",10,3
"12047_2003",18,2
"12047_2004",4,2
"12047_2005",0,0
"12047_2006",1,0
"12047_2007",3,1
"12047_2008",7,1
"12047_2009",8,0
"12047_2010",9,3
"12048_1994",95,15
"12048_1995",181,27
"12048_1996",189,24
"12048_1997",172,43
"12048_1998",123,35
"12048_1999",147,39
"12048_2000",152,30
"12048_2001",122,21
"12048_2002",109,16
"12048_2003",82,13
"12048_2004",65,8
"12048_2005",35,2
"12048_2006",43,10
"12048_2007",72,12
"12048_2008",158,34
"12048_2009",128,48
"12048_2010",126,40
"12049_1994",81,21.5
"12049_1995",36,3
"12049_1996",26,1
"12049_1997",23,1
"12049_1998",20,1
"12049_1999",29,2
"12049_2000",45,5
"12049_2001",20,0
"12049_2002",36,2
"12049_2003",29,3
"12049_2004",13,1
"12049_2005",8,2
"12049_2006",20,0
"12049_2007",20,0
"12049_2008",35,1
"12049_2009",37,11
"12049_2010",23,3
"12050_1994",159.5,9.5
"12050_1995",296,16
"12050_1996",218,12
"12050_1997",220,11
"12050_1998",237,22
"12050_1999",208,12
"12050_2000",214,10
"12050_2001",219,15
"12050_2002",296,9
"12050_2003",211,14
"12050_2004",164,10
"12050_2005",168,13
"12050_2006",245,28
"12050_2007",325,19
"12050_2008",332,30
"12050_2009",380,71
"12050_2010",221,43
"12051_1994",152.5,29
"12051_1995",84,15
"12051_1996",94,27
"12051_1997",57,18
"12051_1998",87,22
"12051_1999",98,26
"12051_2000",90,17
"12051_2001",85,16
"12051_2002",76,12
"12051_2003",69,15
"12051_2004",36,2
"12051_2005",35,5
"12051_2006",44,5
"12051_2007",47,6
"12051_2008",95,15
"12051_2009",128,24
"12051_2010",73,27
"12052_1994",228.5,28.5
"12052_1995",384,30
"12052_1996",334,28
"12052_1997",287,32
"12052_1998",215,23
"12052_1999",119,12
"12052_2000",150,15
"12052_2001",105,8
"12052_2002",99,10
"12052_2003",198,23
"12052_2004",172,12
"12052_2005",184,22
"12052_2006",166,20
"12052_2007",151,14
"12052_2008",177,19
"12052_2009",171,15
"12052_2010",155,22
"12053_1994",131.5,18.5
"12053_1995",108,15
"12053_1996",261,35
"12053_1997",277,21
"12053_1998",188,27
"12053_1999",217,30
"12053_2000",188,30
"12053_2001",173,15
"12053_2002",162,17
"12053_2003",71,8
"12053_2004",109,14
"12053_2005",102,20
"12053_2006",128,20
"12053_2007",155,15
"12053_2008",163,18
"12053_2009",102,13
"12053_2010",88,18
"12054_1994",69,21
"12054_1995",50,24
"12054_1996",31,7
"12054_1997",27,2
"12054_1998",33,10
"12054_1999",18,4
"12054_2000",39,2
"12054_2001",37,6
"12054_2002",29,10
"12054_2003",50,12
"12054_2004",28,8
"12054_2005",24,6
"12054_2006",24,9
"12054_2007",31,7
"12054_2008",37,7
"12054_2009",58,41
"12054_2010",41,20
"12055_1994",367,18.5
"12055_1995",693,17
"12055_1996",708,24
"12055_1997",768,24
"12055_1998",625,19
"12055_1999",1048,25
"12055_2000",1501,39
"12055_2001",1050,27
"12055_2002",1252,33
"12055_2003",1167,18
"12055_2004",563,18
"12055_2005",423,18
"12055_2006",567,8
"12055_2007",789,36
"12055_2008",765,26
"12055_2009",666,51
"12055_2010",788,106
"12056_1994",409.5,55
"12056_1995",31,4
"12056_1996",41,6
"12056_1997",111,14
"12056_1998",99,17
"12056_1999",132,21
"12056_2000",116,16
"12056_2001",153,11
"12056_2002",130,12
"12056_2003",119,7
"12056_2004",59,7
"12056_2005",83,13
"12056_2006",88,6
"12056_2007",82,10
"12056_2008",110,13
"12056_2009",120,7
"12056_2010",97,17
"12057_1994",293,29.5
"12057_1995",489,42
"12057_1996",443,48
"12057_1997",484,49
"12057_1998",686,63
"12057_1999",726,74
"12057_2000",680,78
"12057_2001",435,41
"12057_2002",372,33
"12057_2003",363,35
"12057_2004",317,25
"12057_2005",300,31
"12057_2006",397,39
"12057_2007",368,47
"12057_2008",524,46
"12057_2009",586,59
"12057_2010",420,65
"12058_1994",411,54.5
"12058_1995",402,44
"12058_1996",399,44
"12058_1997",334,46
"12058_1998",263,27
"12058_1999",364,38
"12058_2000",314,31
"12058_2001",267,17
"12058_2002",251,20
"12058_2003",250,25
"12058_2004",132,20
"12058_2005",167,29
"12058_2006",142,15
"12058_2007",245,24
"12058_2008",278,31
"12058_2009",234,26
"12058_2010",319,56
"12059_1994",188,31
"12059_1995",57,6
"12059_1996",75,2
"12059_1997",62,3
"12059_1998",23,1
"12059_1999",111,1
"12059_2000",73,11
"12059_2001",81,5
"12059_2002",64,1
"12059_2003",48,1
"12059_2004",47,1
"12059_2005",31,1
"12059_2006",46,5
"12059_2007",53,5
"12059_2008",132,3
"12059_2009",110,5
"12059_2010",63,6
"12060_1994",49.5,4.5
"12060_1995",36,3
"12060_1996",24,4
"12060_1997",31,3
"12060_1998",11,1
"12060_1999",10,0
"12060_2000",40,3
"12060_2001",65,1
"12060_2002",53,5
"12060_2003",32,0
"12060_2004",15,1
"12060_2005",14,2
"12060_2006",24,1
"12060_2007",23,1
"12060_2008",24,1
"12060_2009",23,3
"12060_2010",19,4
"12061_1994",114.5,5.5
"12061_1995",210,7
"12061_1996",233,17
"12061_1997",234,9
"12061_1998",255,18
"12061_1999",327,12
"12061_2000",400,19
"12061_2001",303,19
"12061_2002",232,8
"12061_2003",273,7
"12061_2004",131,10
"12061_2005",218,12
"12061_2006",216,5
"12061_2007",334,7
"12061_2008",319,16
"12061_2009",340,5
"12061_2010",242,9
"12062_1994",135.5,7.5
"12062_1995",29,6
"12062_1996",47,10
"12062_1997",37,8
"12062_1998",69,19
"12062_1999",80,8
"12062_2000",41,8
"12062_2001",38,10
"12062_2002",37,5
"12062_2003",33,2
"12062_2004",21,1
"12062_2005",18,3
"12062_2006",37,8
"12062_2007",51,10
"12062_2008",52,3
"12062_2009",72,10
"12062_2010",30,6
"12063_1994",19,4
"12063_1995",8,2
"12063_1996",15,3
"12063_1997",12,1
"12063_1998",10,5
"12063_1999",12,4
"12063_2000",14,2
"12063_2001",15,4
"12063_2002",4,1
"12063_2003",13,3
"12063_2004",11,5
"12063_2005",8,1
"12063_2006",9,3
"12063_2007",6,0
"12063_2008",20,3
"12063_2009",17,5
"12063_2010",15,5
"12064_1994",15.5,4.5
"12064_1995",16,4
"12064_1996",12,0
"12064_1997",9,0
"12064_1998",14,0
"12064_1999",10,2
"12064_2000",3,0
"12064_2001",10,1
"12064_2002",20,0
"12064_2003",16,4
"12064_2004",18,1
"12064_2005",14,4
"12064_2006",18,3
"12064_2007",19,3
"12064_2008",33,3
"12064_2009",38,10
"12064_2010",13,5
"12065_1994",8,2.5
"12065_1995",3,0
"12065_1996",2,0
"12065_1997",13,1
"12065_1998",5,1
"12065_1999",10,3
"12065_2000",6,1
"12065_2001",4,2
"12065_2002",8,2
"12065_2003",8,0
"12065_2004",10,3
"12065_2005",3,1
"12065_2006",6,2
"12065_2007",4,1
"12065_2008",4,0
"12065_2009",11,5
"12065_2010",1,0
"12066_1994",152,14
"12066_1995",303,28
"12066_1996",559,48
"12066_1997",622,62
"12066_1998",355,55
"12066_1999",484,48
"12066_2000",516,36
"12066_2001",425,21
"12066_2002",506,35
"12066_2003",623,45
"12066_2004",389,26
"12066_2005",391,48
"12066_2006",341,36
"12066_2007",545,32
"12066_2008",516,40
"12066_2009",604,41
"12066_2010",666,39
"12067_1994",352.5,19.5
"12067_1995",39,0
"12067_1996",50,3
"12067_1997",33,3
"12067_1998",24,0
"12067_1999",35,1
"12067_2000",42,5
"12067_2001",55,8
"12067_2002",65,5
"12067_2003",99,5
"12067_2004",52,5
"12067_2005",19,3
"12067_2006",36,2
"12067_2007",64,4
"12067_2008",57,10
"12067_2009",99,20
"12067_2010",33,2
"12068_1994",92.5,16.5
"12068_1995",152,31
"12068_1996",106,21
"12068_1997",154,22
"12068_1998",164,25
"12068_1999",213,26
"12068_2000",207,24
"12068_2001",160,20
"12068_2002",129,14
"12068_2003",145,11
"12068_2004",101,22
"12068_2005",103,17
"12068_2006",103,31
"12068_2007",127,26
"12068_2008",143,36
"12068_2009",154,50
"12068_2010",149,35
"12069_1994",80,18
"12069_1995",11,1
"12069_1996",26,3
"12069_1997",37,4
"12069_1998",20,6
"12069_1999",20,3
"12069_2000",31,0
"12069_2001",11,2
"12069_2002",41,5
"12069_2003",28,0
"12069_2004",29,4
"12069_2005",17,2
"12069_2006",26,3
"12069_2007",43,4
"12069_2008",29,2
"12069_2009",33,2
"12069_2010",25,3
"12070_1994",15,1.5
"12070_1995",5,0
"12070_1996",24,1
"12070_1997",25,3
"12070_1998",14,2
"12070_1999",37,1
"12070_2000",9,0
"12070_2001",32,2
"12070_2002",14,7
"12070_2003",19,0
"12070_2004",14,0
"12070_2005",13,0
"12070_2006",28,1
"12070_2007",18,0
"12070_2008",11,2
"12070_2009",28,4
"12070_2010",15,2
"12071_1994",18.5,3.5
"12071_1995",22,5
"12071_1996",53,6
"12071_1997",33,3
"12071_1998",41,4
"12071_1999",60,3
"12071_2000",80,5
"12071_2001",74,4
"12071_2002",58,4
"12071_2003",38,2
"12071_2004",32,4
"12071_2005",35,1
"12071_2006",44,2
"12071_2007",64,9
"12071_2008",71,7
"12071_2009",111,5
"12071_2010",60,5
"12072_1994",36.5,3
"12072_1995",13,1
"12072_1996",15,3
"12072_1997",12,3
"12072_1998",25,0
"12072_1999",26,7
"12072_2000",37,4
"12072_2001",16,1
"12072_2002",24,2
"12072_2003",22,2
"12072_2004",13,3
"12072_2005",6,1
"12072_2006",12,2
"12072_2007",20,7
"12072_2008",26,9
"12072_2009",48,15
"12072_2010",22,4
"12073_1994",16.5,2.5
"12073_1995",11,1
"12073_1996",19,3
"12073_1997",29,8
"12073_1998",35,7
"12073_1999",36,4
"12073_2000",29,10
"12073_2001",35,2
"12073_2002",32,4
"12073_2003",34,6
"12073_2004",20,7
"12073_2005",14,4
"12073_2006",25,12
"12073_2007",27,12
"12073_2008",33,16
"12073_2009",48,26
"12073_2010",24,13
"12074_1994",18.5,6.5
"12074_1995",13,0
"12074_1996",9,0
"12074_1997",20,3
"12074_1998",29,1
"12074_1999",45,5
"12074_2000",51,7
"12074_2001",59,7
"12074_2002",44,1
"12074_2003",26,2
"12074_2004",27,1
"12074_2005",35,2
"12074_2006",44,2
"12074_2007",33,2
"12074_2008",90,7
"12074_2009",71,1
"12074_2010",76,2
"12075_1994",110,2.5
"12075_1995",144,3
"12075_1996",127,8
"12075_1997",133,8
"12075_1998",125,5
"12075_1999",211,8
"12075_2000",232,14
"12075_2001",197,16
"12075_2002",215,18
"12075_2003",157,8
"12075_2004",177,7
"12075_2005",144,9
"12075_2006",98,3
"12075_2007",101,2
"12075_2008",199,10
"12075_2009",144,5
"12075_2010",134,14
"12076_1994",69,7.5
"12076_1995",4,1
"12076_1996",7,1
"12076_1997",45,11
"12076_1998",10,3
"12076_1999",21,2
"12076_2000",27,6
"12076_2001",26,6
"12076_2002",17,5
"12076_2003",16,4
"12076_2004",22,6
"12076_2005",18,5
"12076_2006",10,4
"12076_2007",22,4
"12076_2008",15,5
"12076_2009",17,7
"12076_2010",24,8
"12077_1994",0,0
"12077_1995",0,0
"12077_1996",0,0
"12077_1997",0,0
"12077_1998",0,0
"12077_1999",0,0
"12077_2000",0,0
"12077_2001",0,0
"12077_2002",0,0
"12077_2003",0,0
"12077_2004",0,0
"12077_2005",0,0
"12077_2006",0,0
"12077_2007",75,6
"12077_2008",101,8
"12077_2009",114,12
"12077_2010",92,3
"12078_1994",0,0
"12078_1995",0,0
"12078_1996",0,0
"12078_1997",0,0
"12078_1998",0,0
"12078_1999",0,0
"12078_2000",0,0
"12078_2001",0,0
"12078_2002",0,0
"12078_2003",0,0
"12078_2004",1.5,0
"12078_2005",5.66666666666667,0
"12078_2006",3,0
"12078_2007",11,0
"12078_2008",22,4
"12078_2009",36,3
"12078_2010",24,5
"12079_1994",0,0
"12079_1995",0,0
"12079_1996",0,0
"12079_1997",0,0
"12079_1998",0,0
"12079_1999",0,0
"12079_2000",0,0
"12079_2001",0,0
"12079_2002",0,0
"12079_2003",0,0
"12079_2004",0,0
"12079_2005",2,0
"12079_2006",0,0
"12079_2007",6,0
"12079_2008",18,2
"12079_2009",11,1
"12079_2010",12,0
"12080_1994",0,0
"12080_1995",0,0
"12080_1996",0,0
"12080_1997",0,0
"12080_1998",0,0
"12080_1999",0,0
"12080_2000",0,0
"12080_2001",0,0
"12080_2002",0,0
"12080_2003",0,0
"12080_2004",0,0
"12080_2005",0,0
"12080_2006",0,0
"12080_2007",0,0
"12080_2008",16,3
"12080_2009",44,1
"12080_2010",30,1
"12081_1994",0,0
"12081_1995",0,0
"12081_1996",0,0
"12081_1997",0,0
"12081_1998",0,0
"12081_1999",0,0
"12081_2000",0,0
"12081_2001",0,0
"12081_2002",0,0
"12081_2003",0,0
"12081_2004",0,0
"12081_2005",0,0
"12081_2006",0,0
"12081_2007",7,1
"12081_2008",5,0
"12081_2009",6,0
"12081_2010",5,0
"13001_1994",5.33333333333333,0
"13001_1995",5.33333333333333,0
"13001_1996",5.33333333333333,0
"13001_1997",5.33333333333333,0
"13001_1998",5.33333333333333,0
"13001_1999",62,1.5
"13001_2000",115.333333333333,2.66666666666667
"13001_2001",115.333333333333,2.66666666666667
"13001_2002",115.333333333333,2.66666666666667
"13001_2003",115.333333333333,2.66666666666667
"13001_2004",115.333333333333,2.66666666666667
"13001_2005",119,3
"13001_2006",108,2
"13001_2007",112,1
"13001_2008",139,2
"13001_2009",151,5
"13001_2010",121,2
"13002_1994",131,3
"13002_1995",131,3
"13002_1996",131,3
"13002_1997",131,3
"13002_1998",131,3
"13002_1999",166.5,6
"13002_2000",201.333333333333,10.3333333333333
"13002_2001",201.333333333333,10.3333333333333
"13002_2002",201.333333333333,10.3333333333333
"13002_2003",201.333333333333,10.3333333333333
"13002_2004",201.333333333333,10.3333333333333
"13002_2005",212,10
"13002_2006",180,11
"13002_2007",197,7
"13002_2008",222,10
"13002_2009",219,8
"13002_2010",184,6
"13003_1994",1315,13
"13003_1995",1111,20
"13003_1996",1174,12
"13003_1997",957,24
"13003_1998",1110,23
"13003_1999",1068,30
"13003_2000",1082,27.6666666666667
"13003_2001",1082,27.6666666666667
"13003_2002",1046,17.5
"13003_2003",1007.33333333333,5.66666666666667
"13003_2004",1007.33333333333,5.66666666666667
"13003_2005",1024,5
"13003_2006",974,7
"13003_2007",912,8
"13003_2008",1153,7
"13003_2009",997,4
"13003_2010",1122,12
"13004_1994",1080.33333333333,9.33333333333333
"13004_1995",1080.33333333333,9.33333333333333
"13004_1996",1080.33333333333,9.33333333333333
"13004_1997",1080.33333333333,9.33333333333333
"13004_1998",1080.33333333333,9.33333333333333
"13004_1999",581,7.5
"13004_2000",37,2.33333333333333
"13004_2001",37,2.33333333333333
"13004_2002",37,2.33333333333333
"13004_2003",37,2.33333333333333
"13004_2004",37,2.33333333333333
"13004_2005",40,3
"13004_2006",31,1
"13004_2007",35,3
"13004_2008",37,1
"13004_2009",35,4
"13004_2010",46,4
"13005_1994",42.3333333333333,4
"13005_1995",42.3333333333333,4
"13005_1996",42.3333333333333,4
"13005_1997",42.3333333333333,4
"13005_1998",42.3333333333333,4
"13005_1999",83,3
"13005_2000",109.333333333333,1.66666666666667
"13005_2001",109.333333333333,1.66666666666667
"13005_2002",109.333333333333,1.66666666666667
"13005_2003",109.333333333333,1.66666666666667
"13005_2004",109.333333333333,1.66666666666667
"13005_2005",120,2
"13005_2006",88,1
"13005_2007",71,0
"13005_2008",128,2
"13005_2009",109,4
"13005_2010",108,2
"13006_1994",108.333333333333,2.66666666666667
"13006_1995",108.333333333333,2.66666666666667
"13006_1996",108.333333333333,2.66666666666667
"13006_1997",108.333333333333,2.66666666666667
"13006_1998",108.333333333333,2.66666666666667
"13006_1999",96.5,2
"13006_2000",89.3333333333333,1.33333333333333
"13006_2001",89.3333333333333,1.33333333333333
"13006_2002",89.3333333333333,1.33333333333333
"13006_2003",89.3333333333333,1.33333333333333
"13006_2004",89.3333333333333,1.33333333333333
"13006_2005",85,2
"13006_2006",98,0
"13006_2007",85,0
"13006_2008",123,2
"13006_2009",110,5
"13006_2010",117,4
"13007_1994",114.666666666667,4.33333333333333
"13007_1995",114.666666666667,4.33333333333333
"13007_1996",114.666666666667,4.33333333333333
"13007_1997",114.666666666667,4.33333333333333
"13007_1998",114.666666666667,4.33333333333333
"13007_1999",81,2
"13007_2000",53,1
"13007_2001",53,1
"13007_2002",53,1
"13007_2003",53,1
"13007_2004",53,1
"13007_2005",45,0
"13007_2006",69,3
"13007_2007",77,3
"13007_2008",90,0
"13007_2009",75,0
"13007_2010",58,0
"13008_1994",734,12
"13008_1995",666,24
"13008_1996",585,24
"13008_1997",669,20
"13008_1998",624,12
"13008_1999",570,8
"13008_2000",588,9.33333333333333
"13008_2001",588,9.33333333333333
"13008_2002",589,8
"13008_2003",615.666666666667,9
"13008_2004",615.666666666667,9
"13008_2005",608,8
"13008_2006",631,11
"13008_2007",686,4
"13008_2008",843,10
"13008_2009",845,12
"13008_2010",858,4
"13009_1994",853.666666666667,6.66666666666667
"13009_1995",853.666666666667,6.66666666666667
"13009_1996",853.666666666667,6.66666666666667
"13009_1997",853.666666666667,6.66666666666667
"13009_1998",853.666666666667,6.66666666666667
"13009_1999",479,2
"13009_2000",103,1
"13009_2001",103,1
"13009_2002",103,1
"13009_2003",103,1
"13009_2004",103,1
"13009_2005",100,0
"13009_2006",109,3
"13009_2007",123,2
"13009_2008",116,1
"13009_2009",125,1
"13009_2010",194,4
"13010_1994",171,3
"13010_1995",171,3
"13010_1996",171,3
"13010_1997",171,3
"13010_1998",171,3
"13010_1999",195,2
"13010_2000",219.333333333333,0.666666666666667
"13010_2001",219.333333333333,0.666666666666667
"13010_2002",219.333333333333,0.666666666666667
"13010_2003",219.333333333333,0.666666666666667
"13010_2004",219.333333333333,0.666666666666667
"13010_2005",196,0
"13010_2006",266,2
"13010_2007",259,3
"13010_2008",381,0
"13010_2009",399,6
"13010_2010",445,16
"13011_1994",429.666666666667,12.6666666666667
"13011_1995",429.666666666667,12.6666666666667
"13011_1996",429.666666666667,12.6666666666667
"13011_1997",429.666666666667,12.6666666666667
"13011_1998",429.666666666667,12.6666666666667
"13011_1999",253.5,12
"13011_2000",61.3333333333333,6.33333333333333
"13011_2001",61.3333333333333,6.33333333333333
"13011_2002",61.3333333333333,6.33333333333333
"13011_2003",61.3333333333333,6.33333333333333
"13011_2004",61.3333333333333,6.33333333333333
"13011_2005",62,8
"13011_2006",60,3
"13011_2007",54,1
"13011_2008",58,0
"13011_2009",50,2
"13011_2010",65,0
"13012_1994",387,3
"13012_1995",374,6
"13012_1996",344,12
"13012_1997",169,6
"13012_1998",244,15
"13012_1999",252,7
"13012_2000",249.333333333333,9.66666666666667
"13012_2001",249.333333333333,9.66666666666667
"13012_2002",254.5,7
"13012_2003",236.666666666667,6.66666666666667
"13012_2004",236.666666666667,6.66666666666667
"13012_2005",257,7
"13012_2006",196,6
"13012_2007",262,2
"13012_2008",399,10
"13012_2009",452,3
"13012_2010",448,3
"13013_1994",449.333333333333,3
"13013_1995",449.333333333333,3
"13013_1996",449.333333333333,3
"13013_1997",449.333333333333,3
"13013_1998",449.333333333333,3
"13013_1999",385,4
"13013_2000",313,5
"13013_2001",313,5
"13013_2002",313,5
"13013_2003",313,5
"13013_2004",313,5
"13013_2005",322,5
"13013_2006",295,5
"13013_2007",221,4
"13013_2008",263,4
"13013_2009",394,2
"13013_2010",395,5
"13014_1994",394.666666666667,4
"13014_1995",394.666666666667,4
"13014_1996",394.666666666667,4
"13014_1997",394.666666666667,4
"13014_1998",394.666666666667,4
"13014_1999",231,3.5
"13014_2000",58,2
"13014_2001",58,2
"13014_2002",58,2
"13014_2003",58,2
"13014_2004",58,2
"13014_2005",67,2
"13014_2006",40,2
"13014_2007",44,1
"13014_2008",45,2
"13014_2009",53,3
"13014_2010",43,1
"13015_1994",46.3333333333333,1.66666666666667
"13015_1995",46.3333333333333,1.66666666666667
"13015_1996",46.3333333333333,1.66666666666667
"13015_1997",46.3333333333333,1.66666666666667
"13015_1998",46.3333333333333,1.66666666666667
"13015_1999",60.5,1.5
"13015_2000",74.3333333333333,1.66666666666667
"13015_2001",74.3333333333333,1.66666666666667
"13015_2002",74.3333333333333,1.66666666666667
"13015_2003",74.3333333333333,1.66666666666667
"13015_2004",74.3333333333333,1.66666666666667
"13015_2005",78,2
"13015_2006",67,1
"13015_2007",82,1
"13015_2008",91,2
"13015_2009",93,1
"13015_2010",85,3
"13016_1994",87.6666666666667,2.33333333333333
"13016_1995",87.6666666666667,2.33333333333333
"13016_1996",87.6666666666667,2.33333333333333
"13016_1997",87.6666666666667,2.33333333333333
"13016_1998",87.6666666666667,2.33333333333333
"13016_1999",200,4.5
"13016_2000",299.666666666667,4.66666666666667
"13016_2001",299.666666666667,4.66666666666667
"13016_2002",299.666666666667,4.66666666666667
"13016_2003",299.666666666667,4.66666666666667
"13016_2004",299.666666666667,4.66666666666667
"13016_2005",315,6
"13016_2006",269,2
"13016_2007",286,4
"13016_2008",391,10
"13016_2009",358,3
"13016_2010",300,2
"13017_1994",319.333333333333,2.33333333333333
"13017_1995",319.333333333333,2.33333333333333
"13017_1996",319.333333333333,2.33333333333333
"13017_1997",319.333333333333,2.33333333333333
"13017_1998",319.333333333333,2.33333333333333
"13017_1999",180,2
"13017_2000",61.6666666666667,1.66666666666667
"13017_2001",61.6666666666667,1.66666666666667
"13017_2002",61.6666666666667,1.66666666666667
"13017_2003",61.6666666666667,1.66666666666667
"13017_2004",61.6666666666667,1.66666666666667
"13017_2005",60,2
"13017_2006",65,1
"13017_2007",62,1
"13017_2008",63,0
"13017_2009",48,1
"13017_2010",53,3
"13018_1994",51.3333333333333,2.33333333333333
"13018_1995",51.3333333333333,2.33333333333333
"13018_1996",51.3333333333333,2.33333333333333
"13018_1997",51.3333333333333,2.33333333333333
"13018_1998",51.3333333333333,2.33333333333333
"13018_1999",59.5,3
"13018_2000",72,3
"13018_2001",72,3
"13018_2002",72,3
"13018_2003",72,3
"13018_2004",72,3
"13018_2005",66,3
"13018_2006",84,3
"13018_2007",73,5
"13018_2008",106,0
"13018_2009",9,1
"13018_2010",98,6
"13019_1994",68.3333333333333,4.33333333333333
"13019_1995",68.3333333333333,4.33333333333333
"13019_1996",68.3333333333333,4.33333333333333
"13019_1997",68.3333333333333,4.33333333333333
"13019_1998",68.3333333333333,4.33333333333333
"13019_1999",101.5,3.5
"13019_2000",115.333333333333,1.33333333333333
"13019_2001",115.333333333333,1.33333333333333
"13019_2002",115.333333333333,1.33333333333333
"13019_2003",115.333333333333,1.33333333333333
"13019_2004",115.333333333333,1.33333333333333
"13019_2005",105,1
"13019_2006",136,2
"13019_2007",115,2
"13019_2008",137,0
"13019_2009",143,1
"13019_2010",91,0
"13020_1994",108.333333333333,0.333333333333333
"13020_1995",108.333333333333,0.333333333333333
"13020_1996",108.333333333333,0.333333333333333
"13020_1997",108.333333333333,0.333333333333333
"13020_1998",108.333333333333,0.333333333333333
"13020_1999",54,0.5
"13020_2000",14,1
"13020_2001",14,1
"13020_2002",14,1
"13020_2003",14,1
"13020_2004",14,1
"13020_2005",17,1
"13020_2006",8,1
"13020_2007",19,0
"13020_2008",16,0
"13020_2009",11,0
"13020_2010",9,0
"13021_1994",9.66666666666667,0
"13021_1995",9.66666666666667,0
"13021_1996",9.66666666666667,0
"13021_1997",9.66666666666667,0
"13021_1998",9.66666666666667,0
"13021_1999",39.5,1
"13021_2000",70.6666666666667,1.66666666666667
"13021_2001",70.6666666666667,1.66666666666667
"13021_2002",70.6666666666667,1.66666666666667
"13021_2003",70.6666666666667,1.66666666666667
"13021_2004",70.6666666666667,1.66666666666667
"13021_2005",70,2
"13021_2006",72,1
"13021_2007",104,3
"13021_2008",125,1
"13021_2009",141,2
"13021_2010",88,1
"13022_1994",105.666666666667,1.33333333333333
"13022_1995",105.666666666667,1.33333333333333
"13022_1996",105.666666666667,1.33333333333333
"13022_1997",105.666666666667,1.33333333333333
"13022_1998",105.666666666667,1.33333333333333
"13022_1999",117.5,1
"13022_2000",137,1.66666666666667
"13022_2001",137,1.66666666666667
"13022_2002",137,1.66666666666667
"13022_2003",137,1.66666666666667
"13022_2004",137,1.66666666666667
"13022_2005",147,1
"13022_2006",117,3
"13022_2007",108,2
"13022_2008",166,5
"13022_2009",190,2
"13022_2010",193,2
"13023_1994",192,2
"13023_1995",192,2
"13023_1996",192,2
"13023_1997",192,2
"13023_1998",192,2
"13023_1999",215,3
"13023_2000",218.666666666667,2.66666666666667
"13023_2001",218.666666666667,2.66666666666667
"13023_2002",218.666666666667,2.66666666666667
"13023_2003",218.666666666667,2.66666666666667
"13023_2004",218.666666666667,2.66666666666667
"13023_2005",237,4
"13023_2006",182,0
"13023_2007",186,1
"13023_2008",213,5
"13023_2009",219,2
"13023_2010",253,3
"13024_1994",241.666666666667,2.66666666666667
"13024_1995",241.666666666667,2.66666666666667
"13024_1996",241.666666666667,2.66666666666667
"13024_1997",241.666666666667,2.66666666666667
"13024_1998",241.666666666667,2.66666666666667
"13024_1999",206.5,3
"13024_2000",149.333333333333,3
"13024_2001",149.333333333333,3
"13024_2002",149.333333333333,3
"13024_2003",149.333333333333,3
"13024_2004",149.333333333333,3
"13024_2005",160,3
"13024_2006",128,3
"13024_2007",97,1
"13024_2008",144,2
"13024_2009",223,1
"13024_2010",214,0
"13025_1994",217,0.333333333333333
"13025_1995",217,0.333333333333333
"13025_1996",217,0.333333333333333
"13025_1997",217,0.333333333333333
"13025_1998",217,0.333333333333333
"13025_1999",131,0.5
"13025_2000",50.3333333333333,1.33333333333333
"13025_2001",50.3333333333333,1.33333333333333
"13025_2002",50.3333333333333,1.33333333333333
"13025_2003",50.3333333333333,1.33333333333333
"13025_2004",50.3333333333333,1.33333333333333
"13025_2005",48,1
